time,ch1,ch2,ch3
0.0,-59.2773950367841,-63.93167936757024,-67.85440853037721
500.0,-60.704441498764844,-66.1332720926001,-70.54025530659513
1000.0,-60.82336203726324,-67.90528574933145,-72.68893272756947
1500.0,-58.742252613541325,-64.06592282641353,-70.09261417722547
2000.0,-58.44495126729534,-62.91142908036128,-68.77953353107449
2500.0,-58.53414167116913,-62.401303936756804,-67.73503756254532
3000.0,-57.64223763243117,-60.81723112240605,-66.36227143247838
3500.0,-57.374666420809774,-58.23975671261499,-62.75129965556319
4000.0,-56.15573090120123,-58.93782269860007,-64.27327949542
4500.0,-56.03681036270284,-60.28025728703291,-65.556517399613
5000.0,-58.712522478916725,-62.105968327301575,-66.86959804576398
5500.0,-59.63415665227929,-62.48185001206277,-66.60101336814219
6000.0,-58.44495126729534,-61.00517196478665,-65.58636014157098
6500.0,-58.53414167116913,-60.52189551295082,-64.92981981849549
7000.0,-58.14764992104935,-59.93122429404037,-64.51202143108381
7500.0,-59.990918267774475,-62.13281701907023,-66.75022707793208
8000.0,-60.55579082564185,-62.347606553219485,-67.07849723946983
8500.0,-59.09901422903651,-61.05886934832396,-66.21305772268849
9000.0,-58.95036355591351,-59.823829526965746,-64.78060610870561
9500.0,-59.69361692152849,-60.81723112240605,-64.39265046325191
10000.0,-61.44769486437981,-64.22701497702546,-67.58582385275542
10500.0,-61.8341866144996,-65.51575218192099,-69.6748157898138
11000.0,-61.953107152997994,-64.25386366879412,-70.8386827261749
11500.0,-62.60717011473917,-64.97877834654786,-72.86798917931732
12000.0,-61.804456479875,-65.40835741484636,-70.8386827261749
12500.0,-62.51797971086537,-66.07957470906278,-69.46591659610796
13000.0,-64.2423275190921,-66.02587732552547,-69.34654562827606
13500.0,-63.35042348035414,-65.83793648314487,-70.27167062897334
14000.0,-62.75582078786216,-65.86478517491354,-70.65962627442704
14500.0,-64.80720007695948,-67.90528574933145,-72.71877546952743
15000.0,-65.43153290407605,-69.14032557068967,-74.21091256742628
15500.0,-63.85583576897231,-68.06637789994339,-73.46484401847685
16000.0,-64.03421657671991,-68.1200752834807,-73.82295692197258
16500.0,-63.73691523047392,-67.52940406457026,-72.86798917931732
17000.0,-64.2423275190921,-68.4959569682419,-73.285787566729
17500.0,-64.62881926921189,-69.62360202252549,-73.58421498630877
18000.0,-62.60717011473917,-67.52940406457026,-71.67427950099824
18500.0,-62.57743998011457,-67.20721976334637,-70.54025530659513
19000.0,-62.19094822999478,-65.94533125021951,-68.57063433736866
19500.0,-63.588264557350925,-66.64339723620458,-68.95858998282236
20000.0,-65.31261236557765,-67.85158836579414,-68.60047707932664
20500.0,-64.3612480575905,-67.63679883164488,-68.36173514366283
21000.0,-63.05312213410815,-66.45545639382398,-68.3915778856208
21500.0,-64.00448644209531,-65.22041657246577,-69.04811820869628
22000.0,-63.91529603822151,-66.45545639382398,-68.48110611149473
22500.0,-65.22342196170386,-68.65704911885385,-68.69000530520057
23000.0,-64.39097819221509,-67.23406845511504,-66.839755303806
23500.0,-62.19094822999478,-61.67638925900307,-61.67696094507602
24000.0,-62.72609065323756,-62.15966571083889,-62.06491659052972
24500.0,-65.04504115395626,-64.17331759348815,-63.885323849966305
25000.0,-64.00448644209531,-63.20676468981651,-62.781142397521165
25500.0,-64.39097819221509,-62.105968327301575,-61.64711820311805
26000.0,-64.2125973844675,-61.73008664254038,-60.75183594437874
26500.0,-66.91803963530599,-64.84453488770457,-64.18375126954606
27000.0,-68.19643542416374,-66.45545639382398,-66.06384401289861
27500.0,-65.10450142320546,-63.475251607503075,-63.31831175276474
28000.0,-65.69910411569744,-64.03907413464486,-64.57170691499977
28500.0,-65.19369182707926,-63.716889833420986,-64.54186417304179
29000.0,-65.37207263482685,-64.73714012062995,-65.49683191569704
29500.0,-67.54237246242256,-66.69709461974189,-67.16802546534375
30000.0,-66.62073828906,-65.75739040783891,-66.00415852898266
30500.0,-65.46126303870065,-64.46865320294337,-64.84029159262155
31000.0,-65.84775478882044,-64.65659404532397,-65.19840449611728
31500.0,-65.28288223095306,-64.20016628525681,-64.6612351408737
32000.0,-65.96667532731882,-64.54919927824935,-65.01934804436942
32500.0,-65.72883425032204,-64.54919927824935,-65.88478756115074
33000.0,-62.87474132636056,-63.52894899104039,-64.21359401150404
33500.0,-64.56935899996269,-65.16671918892845,-65.88478756115074
34000.0,-65.04504115395626,-65.03247573008517,-66.66069885205815
34500.0,-66.14505613506643,-66.10642340083145,-67.94393675625115
35000.0,-66.23424653894021,-65.48890349015234,-67.19786820730172
35500.0,-65.28288223095306,-63.93167936757024,-66.12352949681457
36000.0,-64.98558088470708,-63.85113329226427,-66.3324286905204
36500.0,-66.32343694281401,-64.97877834654786,-66.92928352967994
37000.0,-66.5910081544354,-65.89163386668218,-68.18267869191496
37500.0,-66.7099286929338,-65.3278113395404,-67.70519482058734
38000.0,-66.5315478851862,-65.89163386668218,-68.69000530520057
38500.0,-65.49099317332525,-65.00562703831652,-67.58582385275542
39000.0,-67.42345192392418,-66.9387328456598,-69.19733191848617
39500.0,-67.78021353941935,-67.55625275633892,-69.97324320939357
40000.0,-65.93694519269422,-65.40835741484636,-68.0036222401671
40500.0,-65.49099317332525,-64.03907413464486,-66.57117062618421
41000.0,-65.34234250020225,-63.93167936757024,-65.61620288352896
41500.0,-66.44235748131241,-66.07957470906278,-67.79472304646126
42000.0,-67.42345192392418,-66.53600246912995,-67.85440853037721
42500.0,-66.38289721206321,-64.79083750416726,-66.36227143247838
43000.0,-66.94776976993059,-64.89823227124188,-67.1083399814278
43500.0,-67.39372178929958,-65.81108779137622,-68.45126336953675
44000.0,-66.769388962183,-65.89163386668218,-67.70519482058734
44500.0,-67.09642044305359,-65.75739040783891,-67.46645288492351
45000.0,-66.17478626969103,-63.958528059338896,-65.22824723807526
45500.0,-65.52072330794985,-63.07252123097322,-64.00469481779821
46000.0,-65.60991371182365,-62.696639546212026,-63.437682720596655
46500.0,-63.79637549972312,-60.97832327301799,-62.03507384857174
47000.0,-65.01531101933166,-62.99197515566725,-64.1539085275881
47500.0,-67.21534098155198,-65.1398704971598,-65.73557385136087
48000.0,-66.7099286929338,-65.03247573008517,-65.67588836744491
48500.0,-66.5315478851862,-64.54919927824935,-65.556517399613
49000.0,-65.43153290407605,-63.07252123097322,-64.21359401150404
49500.0,-65.55045344257445,-63.44840291573442,-64.27327949542
50000.0,-66.17478626969103,-64.71029142886128,-64.6612351408737
50500.0,-63.97475630747071,-62.83088300505531,-62.93035610731105
51000.0,-63.43961388422793,-61.971724868458296,-62.840827881437114
51500.0,-62.69636051861296,-61.30050757424187,-61.88586013878186
52000.0,-62.309868768493175,-61.327356266010526,-62.42302949402544
52500.0,-62.96393173023435,-61.971724868458296,-62.990041591227
53000.0,-61.7747263452504,-61.81063271784635,-63.228783526890815
53500.0,-62.785550922486756,-62.42815262852546,-64.36280772129393
54000.0,-61.804456479875,-59.823829526965746,-62.00523110661376
54500.0,-61.626075672127406,-59.68958606812246,-61.945545622697814
55000.0,-62.51797971086537,-60.14601382818962,-61.61727546116007
55500.0,-62.87474132636056,-62.696639546212026,-62.990041591227
56000.0,-64.48016859608889,-65.86478517491354,-66.42195691639434
56500.0,-63.43961388422793,-63.15306730627919,-65.88478756115074
57000.0,-60.52606069101725,-60.76353373886873,-63.64658191430249
57500.0,-62.19094822999478,-63.52894899104039,-64.54186417304179
58000.0,-63.677454961224726,-65.22041657246577,-65.556517399613
58500.0,-62.66663038398836,-62.642942162674714,-62.45287223598342
59000.0,-63.29096321110494,-62.48185001206277,-62.363344010109486
59500.0,-62.845011191735956,-61.5958431836971,-62.124602074445676
60000.0,-61.53688526825361,-60.28025728703291,-60.48325126675695
60500.0,-62.99366186485895,-63.44840291573442,-63.13925530101688
61000.0,-63.588264557350925,-65.70369302430159,-66.30258594856242
61500.0,-63.23150294185574,-64.57604797001801,-66.60101336814219
62000.0,-62.428789306991575,-62.75033692974934,-66.3324286905204
62500.0,-62.69636051861296,-60.95147458124933,-64.89997707653751
63000.0,-65.10450142320546,-63.44840291573442,-66.06384401289861
63500.0,-66.02613559656803,-65.81108779137622,-66.66069885205815
64000.0,-66.14505613506643,-65.54260087368965,-66.63085611010017
64500.0,-65.72883425032204,-65.3278113395404,-66.92928352967994
65000.0,-65.13423155783006,-65.08617311362248,-66.54132788422623
65500.0,-65.01531101933166,-65.3278113395404,-66.03400127094064
66000.0,-63.76664536509852,-64.60289666178666,-64.03453755975619
66500.0,-64.56935899996269,-64.71029142886128,-63.31831175276474
67000.0,-64.95585075008248,-65.1398704971598,-64.18375126954606
