time,ch1,ch2,ch3
0.0,-51.237437088721535,-49.39516458872609,-50.384768705267795
500.0,-54.04583644060671,-52.652474993659595,-55.67842386207248
1000.0,-51.14684356124137,-47.93616096984962,-49.469324580406834
1500.0,-51.84894339921266,-49.97197997293306,-52.25545887346193
2000.0,-50.943008124410994,-48.682627937646885,-49.82754184665677
2500.0,-54.11378158621684,-51.227401691501186,-50.50417446068444
3000.0,-53.162549547675084,-50.8202378908845,-51.02159940082324
3500.0,-53.34373660263542,-48.27546413703019,-50.384768705267795
4000.0,-54.58939760548771,-48.44511572062048,-51.61862817790648
4500.0,-56.67304873753155,-53.093569110994345,-57.86752937804434
5000.0,-57.71487430355347,-53.229290377866576,-61.40990012207154
5500.0,-58.62080957835514,-55.77406413172088,-64.71345935526544
6000.0,-57.37514857550285,-53.05963879427628,-62.48455192082136
6500.0,-58.0546000316041,-56.24908856577368,-65.07167662151538
7000.0,-57.39779695737289,-53.161429744430464,-60.136238730960635
7500.0,-58.00930326786402,-55.50262159797642,-61.648711632904835
8000.0,-58.25843546843448,-53.87396639550967,-57.98693513346099
8500.0,-60.13825116364794,-56.99555553357094,-62.842769187071305
9000.0,-60.09295439990786,-54.79008494689721,-59.38000227998854
9500.0,-60.54592203730869,-57.742022501368204,-61.09148477429381
10000.0,-59.979712490557645,-56.72411299982649,-59.41980419846075
10500.0,-59.91176734494752,-56.92769490013483,-59.141190769155244
11000.0,-59.0284804520159,-56.21515824905562,-60.61386175262722
11500.0,-59.979712490557645,-56.825903949980656,-60.8128713449883
12000.0,-59.254964270716314,-56.384809832645914,-61.76811738832148
12500.0,-58.62080957835514,-55.23117906423196,-61.09148477429381
13000.0,-58.30373223217456,-56.14729761561951,-62.60395767623801
13500.0,-58.16784194095431,-55.841924765156996,-63.16118453484903
14000.0,-57.87341297664376,-56.316949199209795,-63.55920371957119
14500.0,-57.64692915794335,-55.09545779735973,-62.08653273609921
15000.0,-57.98665488599398,-56.62232204967231,-62.643759594710225
15500.0,-57.55633563046318,-55.943715715311164,-61.21089052971046
16000.0,-57.7828194491636,-56.28301888249174,-61.80791930679369
16500.0,-56.78629064688177,-53.331081328020744,-58.78297350290531
17000.0,-57.82811621290368,-56.52053109951814,-62.48455192082136
17500.0,-58.00930326786402,-56.21515824905562,-62.16613657304364
18000.0,-57.39779695737289,-54.82401526361527,-60.65366367109944
18500.0,-57.760171067293555,-55.77406413172088,-61.21089052971046
19000.0,-56.446564918831136,-52.51675372678737,-56.03664112832242
19500.0,-57.44309372111297,-56.04550666546534,-60.01683297554399
20000.0,-57.37514857550285,-55.60441254813059,-59.57901187234962
20500.0,-57.85076459477372,-56.48660078280008,-59.937229138599555
21000.0,-57.44309372111297,-55.841924765156996,-59.69841762776626
21500.0,-58.30373223217456,-57.30092838403346,-61.17108861123825
22000.0,-58.00930326786402,-56.92769490013483,-60.21584256790507
22500.0,-57.2392582842826,-56.48660078280008,-59.89742722012734
23000.0,-56.62775197379147,-53.50073291161103,-56.235650720683495
23500.0,-58.0546000316041,-57.40271933418764,-62.00692889915477
24000.0,-57.2392582842826,-55.706203498284765,-60.454654078738365
24500.0,-58.48491928713489,-58.115255985266835,-62.60395767623801
25000.0,-57.87341297664376,-55.129388114077784,-58.10634088887764
25500.0,-59.14172236136611,-58.72600168619187,-62.36514616540472
26000.0,-58.41697414152477,-56.41874014936397,-58.862577339849736
26500.0,-58.84729339705556,-58.8617229530641,-61.96712698068256
27000.0,-57.98665488599398,-54.92580621376944,-58.146142807349854
27500.0,-58.71140310583531,-57.742022501368204,-60.97207901887717
28000.0,-58.16784194095431,-56.554461416236194,-58.743171584433085
