time,ch1,ch2,ch3
25000.0,-67.13881944349932,-61.47521492653068,-67.64508768769122
25500.0,-66.62925318472406,-61.534621277473164,-68.14084499462456
26000.0,-68.17833461140081,-62.485122892552866,-68.21711534953738
26500.0,-68.28024786315586,-62.60393559443783,-68.57939953537328
27000.0,-68.28024786315586,-63.158394869900995,-68.9416837212092
27500.0,-67.07767149244629,-62.46532077557204,-68.90354854375279
28000.0,-68.03565605894374,-62.90096734915024,-68.46499400300405
28500.0,-66.01777367419376,-62.02967420199384,-68.48406159173226
29000.0,-64.448309597166,-60.5445154284318,-67.96923669607071
29500.0,-68.09680400999679,-64.5445430585589,-69.78065762525024
30000.0,-68.64713556947405,-64.90098116421379,-69.55184656051178
30500.0,-65.8954777720877,-63.098988518958514,-68.78914301138354
31000.0,-65.24323296085538,-62.90096734915024,-68.78914301138354
31500.0,-70.35927819895889,-65.61385737552357,-68.67473747901431
32000.0,-66.79231438753214,-63.95047954913408,-68.6556698902861
32500.0,-66.32351342945891,-63.910875315172426,-68.82727818883995
33000.0,-67.34264594700942,-64.18810495290401,-68.35058847063482
33500.0,-64.38716164611297,-62.3663101906679,-67.54974974405019
34000.0,-63.67376888382762,-61.594027628415645,-66.882384138563
34500.0,-59.86221326818875,-58.30687620959832,-65.28070668539374
35000.0,-63.24573322645641,-61.059370469933306,-65.5095177501322
35500.0,-64.81519730348418,-61.37620434162655,-64.36546242643986
36000.0,-65.01902380699427,-61.455412809549856,-64.07944859551678
36500.0,-61.61512119837561,-59.356388409582166,-63.24047469147574
37000.0,-56.6825198134312,-55.49497559832086,-61.86760830304494
37500.0,-59.69915206538067,-57.75241693413516,-62.172689722696234
38000.0,-61.43167734521652,-58.36628256054081,-61.467188939752624
38500.0,-68.50445701701697,-61.25739163974158,-60.22779567241926
39000.0,-63.49032503066853,-59.237575707697204,-61.14303993137313
39500.0,-62.69540166697914,-58.821731251099834,-60.837958511721844
40000.0,-60.616371331176126,-57.49498941338441,-60.22779567241926
40500.0,-58.41504509326705,-56.445477213400565,-60.323133616060296
41000.0,-60.92211108644128,-57.71281270017351,-59.922714252767975
41500.0,-64.97825850629225,-59.97025403598781,-60.38033638224491
42000.0,-64.57060549927206,-59.61381593033292,-60.28499843860388
42500.0,-64.46869224751701,-59.41579476052465,-60.22779567241926
43000.0,-65.75279921963063,-61.09897470389496,-61.77227035940391
43500.0,-66.87384498893618,-62.30690383972542,-62.878190505639836
44000.0,-67.13881944349932,-62.68314406236114,-62.82098773945522
44500.0,-60.555223380123095,-59.17816935675472,-62.53497390853214
45000.0,-59.73991736608269,-59.11876300581224,-62.36336560997829
45500.0,-60.881345785739256,-59.851441334102844,-62.592176674716754
46000.0,-68.32101316385788,-62.38611230764873,-60.60914744698338
46500.0,-63.77568213558267,-61.29699587370323,-62.43963596489111
47000.0,-65.44705946436548,-62.22769537180211,-62.61124426344496
47500.0,-66.42542668121396,-62.64353982839948,-62.53497390853214
48000.0,-66.9146102896382,-63.633645677440846,-63.888772708234725
48500.0,-65.32476356225942,-62.287101722744595,-63.450218167486
49000.0,-65.8954777720877,-63.158394869900995,-63.16420433656292
49500.0,-64.55022284892105,-62.60393559443783,-63.48835334494241
50000.0,-66.60887053437305,-63.55443720951754,-63.087933981650096
50500.0,-64.75404935243115,-62.3663101906679,-63.03073121546548
51000.0,-66.75154908683012,-63.19799910386265,-62.43963596489111
51500.0,-63.14381997470136,-59.712826515237055,-60.15152531750644
52000.0,-62.91961082084025,-60.22768155673857,-60.30406602733209
52500.0,-62.69540166697914,-60.18807732277691,-60.59007985825517
53000.0,-62.85846286978722,-60.90095353408669,-61.924811069229555
53500.0,-64.97825850629225,-62.3663101906679,-62.287095255065466
54000.0,-65.46744211471649,-62.82175888122693,-62.70658220708599
54500.0,-65.61012066717356,-63.019780051035205,-62.840055328183425
55000.0,-62.85846286978722,-60.28708790768105,-60.64728262443979
55500.0,-59.41379496046653,-58.22766774167501,-59.77017354294233
56000.0,-61.02402433819633,-59.435596877505475,-60.60914744698338
56500.0,-68.46369171631495,-62.50492500953369,-59.97991701895259
57000.0,-64.59098814962307,-62.40591442462956,-63.087933981650096
57500.0,-68.17833461140081,-64.60394940950138,-63.73623199840908
58000.0,-63.55147298172156,-61.93066361708971,-63.03073121546548
58500.0,-60.697901932580166,-60.88115141710586,-63.39301540130138
59000.0,-61.67626914942864,-61.25739163974158,-63.14513674783471
59500.0,-61.77818240118369,-60.40590060956601,-62.420568376162905
60000.0,-65.77318186998164,-64.12869860196153,-64.99469285447064
60500.0,-67.58723775122154,-65.15840868496454,-65.45231498394759
61000.0,-65.38591151331245,-64.12869860196153,-65.07096320938348
61500.0,-63.95912598874176,-62.425716541610385,-63.20233951401933
62000.0,-62.87884552013823,-62.009872085013015,-63.31674504638856
62500.0,-63.0215240725953,-61.91086150010888,-62.878190505639836
63000.0,-61.61512119837561,-60.18807732277691,-62.420568376162905
63500.0,-65.42667681401447,-62.841560998207754,-63.52648852239882
64000.0,-66.05853897489578,-62.92076946613107,-63.41208299002959
64500.0,-64.10180454119883,-62.10888266991715,-62.89725809436804
65000.0,-63.26611587680742,-61.57422551143482,-63.011663626737274
65500.0,-61.98200890469379,-61.49501704351151,-63.297677457660356
66000.0,-63.36802912856247,-62.148486903878805,-63.049798804193685
66500.0,-61.41129469486551,-59.81183710014119,-61.886675891773145
67000.0,-65.77318186998164,-63.633645677440846,-63.69809682095267
67500.0,-65.20246766015336,-64.06929225101905,-64.93749008828603
68000.0,-64.48907489786802,-64.0296880170574,-64.76588178973218
68500.0,-61.37052939416349,-61.811850915204744,-64.34639483771166
69000.0,-64.6521361006761,-65.11880445100289,-66.27222129926042
69500.0,-66.22160017770386,-65.73267007740853,-66.1959509443476
70000.0,-72.86634419213311,-68.50496645472434,-65.52858533886041
70500.0,-67.13881944349932,-66.30693146985251,-66.67264066255274
71000.0,-64.448309597166,-65.29702350383033,-66.76797860619376
71500.0,-63.67376888382762,-64.94058539817544,-66.84424896110659
72000.0,-60.9628763871433,-63.19799910386265,-67.01585725966044
72500.0,-64.67251875102711,-65.67326372646605,-67.47347938913737
73000.0,-65.73241656927962,-66.02970183212094,-67.07306002584505
73500.0,-66.52733993296901,-66.68317169248824,-67.45441180040916
74000.0,-66.46619198191598,-65.79207642835101,-65.8527343472399
74500.0,-70.29813024790586,-67.71288177549125,-65.07096320938348
75000.0,-62.8176975690852,-64.30691765478898,-66.04341023452196
75500.0,-60.799815184335216,-63.098988518958514,-65.89086952469631
76000.0,-63.44955972996651,-64.44553247365477,-65.75739640359888
76500.0,-63.73491683488065,-63.83166684724912,-64.67054384609115
77000.0,-64.89672790488822,-64.762366345348,-64.89935491082962
77500.0,-65.20246766015336,-64.40592823969311,-64.23198930534242
78000.0,-62.04315685574682,-62.90096734915024,-64.59427349117833
78500.0,-63.65338623347661,-63.61384356046002,-64.28919207152704
79000.0,-62.22660070890591,-62.92076946613107,-64.11758377297319
79500.0,-63.97950863909277,-64.58414729252056,-64.93749008828603
80000.0,-60.820197834686226,-62.425716541610385,-64.30825966025525
80500.0,-57.0901728204514,-60.18807732277691,-64.27012448279883
81000.0,-59.43417761081754,-61.61382974539647,-64.42266519262448
81500.0,-60.840580485037236,-63.11879063593934,-65.37604462903477
